title,description,subject,date,source,format,language,type,rights,rightsstatement,cdm_url,cdmid,objectid,reference_url,display_template,filename,object_location,image_small,image_thumb,errors
The Idaho Forester - 1988 (Vol. 69),,biotechnology; community forestry; experimental forests; fisheries; forest industries; forest products industry; fuelwood; natural resources conservation; Rangifer tarandus; sport fishing; timber supply; Ursus arctos; wildlife; wolves,1988,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/4424,4424,forester4424,http://localhost:4000/digital/forester/items/.html,pdf,forester4424.pdf,https://objects.lib.uidaho.edu/forester/forester4424.pdf,https://objects.lib.uidaho.edu/forester/small/forester4424_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester4424_th.jpg,
The Idaho Forester - 1989 (Vol. 70),,Anser albifrons; Artemisia; biotechnology; Cygnus; economics; endangered species; forest fires; Honduras; national parks; Prunus serotina; Purshia; rangelands; rural education and training; water; wildlife; wildlife management,1989,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/4501,4501,forester4501,http://localhost:4000/digital/forester/items/.html,pdf,forester4501.pdf,https://objects.lib.uidaho.edu/forester/forester4501.pdf,https://objects.lib.uidaho.edu/forester/small/forester4501_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester4501_th.jpg,
The Idaho Forester - 1990 (Vol. 71),,cattle; Central America; conservation areas; ecological restoration; economics; elks; Esox lucius; ethics; fisheries; forest fires; forest management; forest regeneration; forestry; fuelwood; grazing; land management; land ownership; natural resources; Oncorhynchus tshawytscha; outdoor recreation; Pinus ponderosa; plants (botany); rangelands; trees,1990,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/4586,4586,forester4586,http://localhost:4000/digital/forester/items/.html,pdf,forester4586.pdf,https://objects.lib.uidaho.edu/forester/forester4586.pdf,https://objects.lib.uidaho.edu/forester/small/forester4586_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester4586_th.jpg,
The Idaho Forester - 1991 (Vol. 72),,Alces alces; Chiroptera; fish; fisheries; forest products industry; foresters; horses; human-wildlife relations; rangelands; Ursus americanus; wildlife,1991,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/4671,4671,forester4671,http://localhost:4000/digital/forester/items/.html,pdf,forester4671.pdf,https://objects.lib.uidaho.edu/forester/forester4671.pdf,https://objects.lib.uidaho.edu/forester/small/forester4671_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester4671_th.jpg,
The Idaho Forester - 1992 (Vol. 73),,crows; deserts; fisheries; forest products industry; foresters; mountains; range management,1992,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/4768,4768,forester4768,http://localhost:4000/digital/forester/items/.html,pdf,forester4768.pdf,https://objects.lib.uidaho.edu/forester/forester4768.pdf,https://objects.lib.uidaho.edu/forester/small/forester4768_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester4768_th.jpg,
The Idaho Forester - 1993 (Vol. 74),,biodiversity; clearcutting; Clearwater National Forest; forest products industry; foresters; forestry; fuelwood; habitat conservation; land management; natural resource management; natural resources conservation; outdoor recreation; Pakistan; rangelands; tourism; wildlife,1993,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/4865,4865,forester4865,http://localhost:4000/digital/forester/items/.html,pdf,forester4865.pdf,https://objects.lib.uidaho.edu/forester/forester4865.pdf,https://objects.lib.uidaho.edu/forester/small/forester4865_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester4865_th.jpg,
The Idaho Forester - 1994 (Vol. 75),,ecology; forest fires; foresters; forests; logging; natural resource management; Odocoileus virginianus; outdoor recreation,1994,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/4950,4950,forester4950,http://localhost:4000/digital/forester/items/.html,pdf,forester4950.pdf,https://objects.lib.uidaho.edu/forester/forester4950.pdf,https://objects.lib.uidaho.edu/forester/small/forester4950_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester4950_th.jpg,
The Idaho Forester - 1995 (Vol. 76),,Accipiter; ethics; fisheries; forest management; foresters; logging; nesting sites; outdoor recreation; wildlife,1995,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/5023,5023,forester5023,http://localhost:4000/digital/forester/items/.html,pdf,forester5023.pdf,https://objects.lib.uidaho.edu/forester/forester5023.pdf,https://objects.lib.uidaho.edu/forester/small/forester5023_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester5023_th.jpg,
The Idaho Forester - 1996 (Vol. 77),,agroforestry; El Salvador; experimental forests; fisheries; floods; forest products industry; forestry; horses; land use planning; Pakistan; private lands; wildlife; women in agriculture,1996,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/5124,5124,forester5124,http://localhost:4000/digital/forester/items/.html,pdf,forester5124.pdf,https://objects.lib.uidaho.edu/forester/forester5124.pdf,https://objects.lib.uidaho.edu/forester/small/forester5124_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester5124_th.jpg,
The Idaho Forester - 1997 (Vol. 78),,ecology; evolution; fisheries; foresters; grassland fires; livestock; logging; rangelands; snow; timber production; wildlife; wildlife management,1997,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/5205,5205,forester5205,http://localhost:4000/digital/forester/items/.html,pdf,forester5205.pdf,https://objects.lib.uidaho.edu/forester/forester5205.pdf,https://objects.lib.uidaho.edu/forester/small/forester5205_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester5205_th.jpg,
